Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Solomon Hill,PF,29,ATL,28,1,19,1.5,4.3,0.358,1,3.2,0.322,0.5,1.1,0.467,0.479,0.3,0.4,0.8,0.4,1.9,2.3,0.9,0.6,0.2,0.5,1.6,4.4
Nate Hinton,SG,21,DAL,6,0,3.2,0.5,2.2,0.231,0.2,0.8,0.2,0.3,1.3,0.25,0.269,0.2,0.3,0.5,0,0,0,0,0.2,0.2,0.3,0.2,1.3
Aaron Holiday,PG,24,IND,29,6,19.9,2.8,7.6,0.37,1.1,3.2,0.333,1.7,4.3,0.397,0.441,0.8,1,0.759,0.2,1.1,1.3,1.8,0.5,0.1,0.8,1.7,7.4
Jrue Holiday,PG,30,MIL,23,23,32.5,6.5,13,0.502,1.9,4.8,0.387,4.7,8.2,0.569,0.574,1.5,1.9,0.791,1.3,3.5,4.8,5.4,1.9,0.6,1.6,1.7,16.4
Justin Holiday,SG,31,IND,29,20,32.2,4,8.5,0.466,2.4,5.8,0.419,1.6,2.8,0.563,0.607,1.2,1.5,0.791,0.7,3.5,4.2,1.7,1.2,0.3,0.7,2.3,11.5
Richaun Holmes,C,27,SAC,25,25,29.6,5.4,8.4,0.648,0,0.2,0.2,5.4,8.2,0.659,0.65,1.8,2.3,0.793,2.5,5.2,7.7,1.8,0.7,1.6,1.5,4.1,12.8
Rodney Hood,SF,28,POR,23,5,19,2.1,5.7,0.366,0.6,2,0.298,1.5,3.7,0.405,0.42,0.2,0.3,0.667,0.2,1.5,1.7,1.2,0.7,0.1,0.8,1.4,5
Al Horford,C,34,OKC,19,19,28.2,5.9,13,0.453,2.2,5.5,0.39,3.7,7.5,0.5,0.536,0.7,0.9,0.778,0.8,6.1,6.9,3.6,0.9,0.8,1.3,1.7,14.7
Talen Horton-Tucker,SG,20,LAL,25,0,16.5,2.7,6,0.447,0.5,1.7,0.279,2.2,4.3,0.514,0.487,0.9,1.1,0.821,0.4,2,2.4,1.8,0.8,0.5,1.2,1.9,6.8
Danuel House,SF,27,HOU,17,7,27.9,3.1,8.2,0.374,1.4,4.9,0.286,1.6,3.2,0.509,0.46,1.4,1.8,0.767,0.6,3.1,3.6,2.1,0.8,0.5,0.9,1.8,8.9
Dwight Howard,C,35,PHI,29,4,16.7,2.1,3.8,0.555,0.1,0.3,0.375,2,3.5,0.569,0.568,1.6,3,0.523,2.7,5,7.7,0.7,0.4,0.9,1.9,3.1,5.9
Markus Howard,SG,21,DEN,14,0,3.4,0.4,2.1,0.207,0.2,1.5,0.143,0.2,0.6,0.375,0.259,0,0,0,0,0.4,0.4,0.4,0.1,0,0.3,0.4,1.1
Kevin Huerter,SG,22,ATL,28,17,31.8,4.5,10.7,0.423,2.2,5.8,0.385,2.3,5,0.468,0.527,0.7,0.9,0.792,0.7,2.9,3.6,3.8,1.2,0.2,1.3,2.3,12
Elijah Hughes,SF,22,UTA,6,0,4.5,0.8,2.5,0.333,0.5,1.7,0.3,0.3,0.8,0.4,0.433,0.5,0.7,0.75,0,0.7,0.7,0.5,0.2,0.2,0.7,0,2.7
De'Andre Hunter,SF,23,ATL,18,18,32.2,6,11.7,0.514,1.7,4.6,0.366,4.3,7.1,0.609,0.586,3.6,4.1,0.877,0.9,4.5,5.4,2.2,0.9,0.5,1.4,2.6,17.2
Chandler Hutchison,SF,24,CHI,7,0,9.1,0.7,2.6,0.278,0.1,0.4,0.333,0.6,2.1,0.267,0.306,0.3,0.3,1,0.1,2.7,2.9,0.6,0.1,0,0.7,1.3,1.9
Serge Ibaka,C,31,LAC,29,29,24.2,4.8,9.2,0.515,1,2.7,0.377,3.8,6.6,0.571,0.569,1.2,1.5,0.818,1.9,4.8,6.7,1.7,0.2,1.2,1.3,1.9,11.8
Andre Iguodala,SF,37,MIA,26,2,21.2,1.6,4.3,0.369,1,3.3,0.318,0.5,1,0.538,0.491,0.2,0.4,0.455,0.5,3.1,3.6,2.3,1,0.5,1,1.5,4.4
Joe Ingles,SF,33,UTA,25,8,26.6,4.1,7.9,0.518,2.4,5.3,0.451,1.7,2.6,0.656,0.67,1.2,1.4,0.882,0.4,3,3.5,4.7,0.4,0.2,1.6,1.7,11.8
Brandon Ingram,SF,23,NOP,28,28,34.8,8.2,17.5,0.466,2.5,6.3,0.4,5.7,11.3,0.503,0.538,4.7,5.4,0.874,0.6,4.8,5.4,4.8,0.6,0.9,2.5,1.8,23.6
Kyrie Irving,PG,28,BRK,20,20,35.4,10.7,20,0.534,3.1,6.9,0.442,7.6,13.1,0.582,0.61,3.9,4.3,0.918,0.9,3.7,4.6,5.7,1.1,0.8,2.4,3,28.3
Wesley Iwundu,SF,26,DAL,17,3,13.6,0.8,2.7,0.283,0.2,1.4,0.13,0.6,1.4,0.435,0.315,0.5,0.6,0.8,0.3,1.6,1.9,0.5,0.4,0.1,0.2,1.2,2.2
Frank Jackson,PG,22,DET,7,0,5.6,0.6,2.3,0.25,0.4,1.4,0.3,0.1,0.9,0.167,0.344,0,0,0,0,0.7,0.7,1.1,0.1,0,0.6,0.6,1.6
Josh Jackson,SG,23,DET,26,6,24.1,4.5,10.5,0.427,1.4,4.4,0.322,3.1,6.1,0.503,0.495,2.3,3.4,0.685,0.7,3.3,4,1.9,1,0.9,2.4,3,12.8
Justin Jackson,SF,25,OKC,18,2,18,2.9,6.4,0.457,1.2,3.3,0.356,1.8,3.2,0.561,0.547,0.8,1,0.778,0.4,1.9,2.4,1.8,0.4,0.1,1,1.2,7.8
Reggie Jackson,SG,30,LAC,27,14,20.8,3.1,7.4,0.427,1.2,3.4,0.348,2,4,0.495,0.508,1.1,1.4,0.744,0.3,2.4,2.7,3.3,0.7,0.1,1,1.9,8.6
Justin James,SF,24,SAC,8,0,6.3,0.8,1.9,0.4,0,0.5,0,0.8,1.4,0.545,0.4,0.1,0.9,0.143,0.3,0.6,0.9,0.4,0.1,0.1,0,0.1,1.6
LeBron James,PG,36,LAL,29,29,34.7,9.4,18.8,0.504,2.5,6.7,0.378,6.9,12.1,0.573,0.571,4.2,6,0.711,0.6,7.6,8.2,7.9,1,0.5,3.7,1.6,25.7
DaQuan Jeffries,SG,23,SAC,3,1,13.7,1,4,0.25,0,2,0,1,2,0.5,0.25,0,0,0,0.7,1.3,2,0.7,1,0.7,0.7,1,2
Isaiah Joe,SG,21,PHI,16,1,13.3,1.7,4.4,0.38,1.3,3.5,0.375,0.4,0.9,0.4,0.528,0.3,0.3,1,0.3,0.9,1.2,0.9,0.4,0.3,0.3,1.3,5
Cameron Johnson,PF,24,PHO,27,9,25.4,3.8,8.6,0.438,2.2,5.9,0.369,1.6,2.7,0.589,0.564,1,1.1,0.871,0.6,3,3.6,1.5,0.6,0.3,0.8,1.3,10.7
James Johnson,PF,33,DAL,23,0,18.4,2.6,5.3,0.488,0.6,2.2,0.28,2,3.2,0.63,0.545,0.6,1,0.542,0.5,2.6,3.1,1.6,0.9,0.8,1.1,2.1,6.4
Keldon Johnson,SF,21,SAS,27,27,30.1,5.3,11.4,0.468,1,3,0.325,4.4,8.4,0.518,0.51,2.9,3.7,0.778,1.7,5.2,7,2.3,0.8,0.5,1.5,2.3,14.5
Stanley Johnson,PF,24,TOR,25,1,14.7,1,2.5,0.403,0.6,1.5,0.405,0.4,1,0.4,0.524,0.4,0.6,0.786,0.6,2,2.5,1.4,0.8,0.3,0.7,1.7,3
Tyler Johnson,SG,28,BRK,13,1,12.2,1.6,3.6,0.447,1.2,2.5,0.469,0.5,1.2,0.4,0.606,0.2,0.2,1,0.2,1,1.2,0.8,0.3,0,0.3,0.6,4.5
Nikola Jokić,C,25,DEN,28,28,35.9,10.5,18.4,0.57,1.5,3.8,0.402,9,14.6,0.614,0.611,4.8,5.5,0.871,3,8.2,11.1,8.6,1.6,0.6,3.4,3.1,27.4
Damian Jones,C,25,PHO,11,0,7.1,0.4,0.9,0.4,0,0.1,0,0.4,0.8,0.444,0.4,0.5,0.8,0.556,0.6,0.8,1.5,0,0.1,0.5,0.5,1.6,1.2
Derrick Jones Jr.,SF,23,POR,24,23,27.1,2.8,6,0.476,0.7,2.6,0.274,2.1,3.4,0.63,0.535,1.3,2,0.612,1.8,2.9,4.7,0.7,0.8,0.9,0.7,2.6,7.6
Mason Jones,SG,22,HOU,18,1,11.2,1.8,4,0.458,0.9,2.3,0.415,0.9,1.7,0.516,0.576,0.9,1.7,0.548,0.2,1.8,2,1.3,0.3,0,1.2,1,5.6
Tre Jones,PG,21,SAS,9,0,3,0.7,1.3,0.5,0.1,0.1,1,0.6,1.2,0.455,0.542,0.6,0.6,1,0.4,0,0.4,0.1,0,0,0.2,0.2,2
Tyus Jones,PG,24,MEM,24,8,23.5,3.3,8,0.406,0.7,2.8,0.25,2.5,5.2,0.492,0.451,0.5,0.6,0.8,0.6,2.1,2.8,5.3,1.3,0.1,1,0.5,7.7
DeAndre Jordan,C,32,BRK,28,22,21.6,3.2,4,0.788,0,0,0,3.2,4,0.788,0.788,0.8,1.5,0.548,1.8,5.3,7,1.9,0.3,1.4,1.7,2.1,7.2
Cory Joseph,PG,29,SAC,27,1,19.8,2.7,5.7,0.471,0.7,2,0.327,2,3.7,0.55,0.529,0.7,1,0.741,0.4,1.7,2.1,2.4,0.8,0.2,1.1,2.2,6.8
Mfiondu Kabengele,PF,23,LAC,17,0,4.1,0.4,1.4,0.261,0.1,0.7,0.167,0.2,0.6,0.364,0.304,0.2,0.2,0.75,0.1,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1
Frank Kaminsky,C,27,PHO,20,6,15.8,2.6,5.8,0.452,0.8,2,0.385,1.9,3.8,0.487,0.517,0.7,1.2,0.609,1,3.5,4.5,2,0.2,0.5,0.5,1.6,6.7
Enes Kanter,C,28,POR,28,16,25.1,4.9,8.4,0.581,0,0,0,4.9,8.4,0.581,0.581,1.8,2.3,0.754,4.1,7,11.1,1.1,0.5,0.8,1.2,2.5,11.5
Luke Kennard,SG,24,LAC,29,7,22,3,6.5,0.463,1.6,3.6,0.442,1.4,2.9,0.488,0.585,0.4,0.5,0.867,0.3,2.6,2.9,1.8,0.3,0.2,0.9,1.6,8
Maxi Kleber,PF,29,DAL,17,11,25.6,2.2,5.1,0.43,1.7,3.8,0.453,0.5,1.3,0.364,0.599,1,1.1,0.944,0.9,4.4,5.4,1.5,0.4,0.8,0.6,2.4,7.1
Nathan Knight,PF,23,ATL,9,0,6,1,2.4,0.409,0.3,1,0.333,0.7,1.4,0.462,0.477,0.8,0.9,0.875,0.9,0.7,1.6,0.1,0.2,0.3,0.4,0.8,3.1
Kevin Knox,SF,21,NYK,23,0,16.2,1.9,4.9,0.389,1.1,2.9,0.379,0.8,2,0.404,0.5,0.4,0.5,0.833,0.4,1.7,2.1,0.7,0.3,0.3,0.7,1.4,5.3
John Konchar,SG,24,MEM,16,0,16.5,1.5,3.5,0.429,0.4,1.4,0.318,1.1,2.1,0.5,0.491,0.9,1,0.938,1,2.8,3.8,1.1,1.1,0.3,0.5,1.4,4.4
Furkan Korkmaz,SG,23,PHI,18,1,19.5,2.7,7.2,0.377,1.3,4.2,0.32,1.4,3.1,0.455,0.469,0.8,0.9,0.875,0.2,2.3,2.6,0.8,0.7,0.1,0.9,1.1,7.6
Luke Kornet,PF,25,CHI,6,0,7.2,0.5,2.3,0.214,0.2,1.8,0.091,0.3,0.5,0.667,0.25,0.3,0.3,1,0,1.5,1.5,0.3,0.3,0.2,0.2,0.2,1.5
Rodions Kurucs,SF-PF,22,TOT,14,0,5.2,0.4,1.4,0.3,0.2,1,0.214,0.2,0.4,0.5,0.375,0.1,0.1,0.5,0.1,0.7,0.9,0.3,0.4,0.1,0.5,0.6,1.1
Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0,0.2,0,0.5,0,0,0,0,0.6,0.6,0.4,0,0,0,0.2,0.6
Rodions Kurucs,SF,22,HOU,9,0,6.3,0.6,1.9,0.294,0.2,1.3,0.167,0.3,0.6,0.6,0.353,0.1,0.2,0.5,0.2,0.8,1,0.2,0.6,0.2,0.8,0.8,1.4
Kyle Kuzma,SF,25,LAL,29,7,25,4.3,9.5,0.453,1.7,4.6,0.361,2.7,4.9,0.538,0.54,0.6,0.9,0.615,1.8,4.2,6,1.1,0.3,0.7,1.3,1.6,10.8
Jeremy Lamb,SG,28,IND,16,8,25.1,4.1,8.1,0.508,1.9,3.9,0.5,2.2,4.3,0.515,0.627,2.3,2.4,0.923,0.9,3.4,4.3,1.6,0.9,0.5,0.9,2.1,12.4
Zach LaVine,SG,25,CHI,27,27,35.6,10.2,19.6,0.52,3.6,8.2,0.437,6.6,11.4,0.58,0.612,4.5,5.3,0.847,0.8,4.7,5.5,5.2,1.1,0.4,3.9,2.6,28.5
Jake Layman,SF,26,MIN,19,3,15.4,2.4,4.8,0.489,0.6,1.9,0.297,1.8,2.9,0.618,0.549,0.9,1.2,0.783,0.3,1.2,1.5,0.5,0.9,0.5,0.5,1.2,6.3
Jalen Lecque,PG,20,IND,3,0,3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,1,1,1,0.3,1,1.3,0.7,0,0,0,0,1.7
Damion Lee,SG,28,GSW,29,0,19.3,2.1,4.8,0.432,1.4,3.8,0.373,0.7,1,0.655,0.579,0.7,0.8,0.909,0.4,2.9,3.3,1.5,0.6,0.1,0.4,1.7,6.2
Saben Lee,PG,21,DET,8,0,8.8,0.6,1.8,0.357,0,0.1,0,0.6,1.6,0.385,0.357,1,1.3,0.8,0.1,0.3,0.4,1,0.5,0.1,0.6,1.1,2.3
Alex Len,C,27,TOT,20,6,14.6,2.4,3.8,0.627,0.3,1,0.316,2.1,2.8,0.732,0.667,1,1.7,0.588,0.8,2.8,3.5,1.1,0.4,1.1,1.2,1.9,6
Alex Len,C,27,TOR,7,2,10.9,0.7,1.4,0.5,0.4,0.9,0.5,0.3,0.6,0.5,0.65,0.4,0.9,0.5,0,1.6,1.6,0.4,0.1,0.9,1.1,1.4,2.3
Alex Len,C,27,WAS,13,4,16.6,3.2,5,0.646,0.2,1,0.231,3,4,0.75,0.669,1.3,2.2,0.607,1.2,3.4,4.5,1.4,0.5,1.2,1.2,2.2,8
Kawhi Leonard,SF,29,LAC,23,23,34.4,9.7,19,0.513,1.9,4.9,0.389,7.8,14.1,0.556,0.563,5.3,6.1,0.879,0.8,5,5.9,5,1.8,0.6,1.8,1.5,26.7
Meyers Leonard,C,28,MIA,3,2,9.7,1,2.3,0.429,1,2.3,0.429,0,0,0,0.643,0.3,0.7,0.5,0,2.3,2.3,0.7,0,0,0.7,1.7,3.3
Caris LeVert,SG,26,BRK,12,4,27.8,7.3,16.7,0.435,1.8,5.3,0.349,5.4,11.4,0.474,0.49,2.2,2.8,0.765,0.8,3.5,4.3,6,1.1,0.5,2.2,1.7,18.5
Kira Lewis Jr.,PG,19,NOP,17,0,13.1,2.1,5.1,0.402,0.6,1.7,0.379,1.4,3.4,0.414,0.466,0.8,1.2,0.65,0.1,0.8,0.9,1.8,0.6,0.1,0.5,1,5.5
Damian Lillard,PG,30,POR,27,27,35.9,9.2,20.4,0.451,4.1,10.8,0.384,5.1,9.6,0.527,0.553,7.2,7.7,0.933,0.5,3.9,4.4,7.7,1.1,0.3,3.1,1.6,29.8
Nassir Little,PF,20,POR,13,2,10.8,1.7,3.1,0.55,0.8,1.4,0.611,0.8,1.7,0.5,0.688,0.6,0.7,0.889,0.8,1.2,2,0.2,0.2,0.3,0.5,0.8,4.8
Kevon Looney,C,24,GSW,21,5,14.7,1.6,2.5,0.623,0.1,0.2,0.4,1.5,2.3,0.646,0.642,0.4,0.6,0.692,1.5,2.6,4.1,1.8,0.3,0.3,0.7,1.8,3.7
Brook Lopez,C,32,MIL,28,28,27.1,3.9,8.5,0.46,1.6,4.6,0.359,2.3,3.9,0.578,0.557,1.3,1.6,0.841,1.5,3.6,5.1,0.6,0.5,1.3,0.8,1.9,10.8
Robin Lopez,C,32,WAS,26,9,19.4,3.1,5.3,0.591,0.2,0.5,0.333,3,4.8,0.616,0.606,1.6,2.3,0.672,2.2,2,4.2,1,0.2,0.5,1,1.9,8
Kevin Love,PF,32,CLE,2,2,23,3,9,0.333,1.5,4.5,0.333,1.5,4.5,0.333,0.417,2,2.5,0.8,1,5,6,2.5,0.5,0,1.5,0.5,9.5
Kyle Lowry,PG,34,TOR,25,25,34.4,6,13.2,0.452,2.8,7.1,0.388,3.2,6.1,0.526,0.556,3,3.5,0.874,0.8,4.6,5.4,6.4,1.2,0.2,2.9,3.2,17.7
Timothe Luwawu-Cabarrot,SF,25,BRK,30,5,19.7,2.6,6.4,0.404,1.5,4.1,0.366,1.1,2.3,0.471,0.521,0.6,0.8,0.75,0.6,1.8,2.4,1.3,0.6,0.2,0.7,1.6,7.3
Trey Lyles,PF,25,SAS,14,2,11.8,1.3,2.6,0.5,0.3,1.1,0.267,1,1.5,0.667,0.556,0.6,1.1,0.6,0.5,2.6,3.1,0.5,0,0,0,0.4,3.5
Thon Maker,C,23,CLE,8,0,9.5,1.3,2.3,0.556,0,0.3,0,1.3,2,0.625,0.556,1.3,1.4,0.909,1,1.3,2.3,0.5,0.3,0.5,0.4,0.9,3.8
Theo Maledon,PG,19,OKC,23,8,23.4,2.8,7,0.4,1.5,3.9,0.378,1.3,3,0.429,0.506,0.7,1,0.708,0.2,2.5,2.7,2.8,1,0,1.8,2.2,7.8
Karim Mane,PG,20,ORL,6,0,9.3,0.2,1.5,0.111,0.2,0.3,0.5,0,1.2,0,0.167,0.7,0.7,1,0,1.7,1.7,0.2,0,0.2,0.5,0.5,1.2
Terance Mann,SG,24,LAC,27,3,15.1,1.6,3.5,0.457,0.2,0.9,0.25,1.4,2.6,0.529,0.489,0.9,1.2,0.75,0.9,2.4,3.3,1.1,0.5,0.2,0.7,1.5,4.3
Nico Mannion,PG,19,GSW,6,0,6,0.5,2.2,0.231,0.3,1.5,0.222,0.2,0.7,0.25,0.308,0.2,0.7,0.25,0,1.3,1.3,2,0.3,0,0.3,0.8,1.5
Boban Marjanovic,C,32,DAL,15,0,7.2,1.9,3.6,0.519,0,0.2,0,1.9,3.4,0.549,0.519,0.6,0.9,0.692,1.3,2,3.3,0.1,0,0,0.2,0.8,4.3
Lauri Markkanen,PF,23,CHI,14,14,30.4,6.8,13.2,0.514,2.9,7.2,0.396,3.9,6,0.655,0.622,2.7,3.2,0.844,0.6,5.5,6.1,0.9,0.6,0.4,1.7,2.2,19.1
Naji Marshall,SF,23,NOP,3,0,2.7,0,0.7,0,0,0.3,0,0,0.3,0,0,0.3,0.7,0.5,0,0.7,0.7,0.3,0,0,0,0,0.3
Caleb Martin,SF,25,CHO,23,1,15.8,2.2,5.2,0.42,0.7,2.2,0.3,1.5,3,0.507,0.483,0.6,1.1,0.56,0.8,2,2.8,1.3,0.9,0.3,0.7,1.1,5.6
Cody Martin,SF,25,CHO,17,0,9.4,1.2,2.2,0.526,0.2,0.8,0.231,1,1.5,0.68,0.566,0.5,0.6,0.8,0.6,1.4,2,0.9,0.4,0,0.5,0.5,3
Kelan Martin,SF,25,IND,11,0,3.9,0.5,1.6,0.333,0.2,0.7,0.25,0.4,0.9,0.4,0.389,0,0,0,0.1,0.9,1,0,0.2,0,0.4,0.4,1.3
Kenyon Martin Jr.,SF,20,HOU,7,0,9.9,1.4,3.9,0.37,0.1,0.6,0.25,1.3,3.3,0.391,0.389,0.3,0.7,0.4,1.1,1.6,2.7,0.6,0.3,0.7,0.7,1.3,3.3
Frank Mason III,G,26,ORL,4,1,19.8,2.3,6,0.375,0.5,1.3,0.4,1.8,4.8,0.368,0.417,1.3,1.8,0.714,0.8,2.3,3,3,0,0,1.3,1.8,6.3
Garrison Mathews,SG,24,WAS,20,4,16.1,1.9,4.8,0.389,1.5,3.8,0.382,0.4,1,0.421,0.542,1.9,2.1,0.902,0.4,1.1,1.5,0.5,0.9,0.2,0.2,1.6,7
Dakota Mathias,SG,25,PHI,8,2,15.4,2.4,6,0.396,1,3.3,0.308,1.4,2.8,0.5,0.479,0.3,0.8,0.333,0.1,0.8,0.9,1.6,0.1,0.4,0.1,0.9,6
Wesley Matthews,SG,34,LAL,22,1,20.4,1.6,4.1,0.4,1.3,3.3,0.384,0.4,0.8,0.471,0.556,0.5,0.7,0.8,0.4,1,1.4,1.1,0.5,0.4,0.4,1.5,5.1
Tyrese Maxey,SG,20,PHI,28,6,16.9,3.7,8.1,0.456,0.5,1.9,0.278,3.1,6.1,0.512,0.489,0.8,0.9,0.88,0.2,1.7,1.9,1.7,0.5,0.1,0.6,1.2,8.7
Skylar Mays,SG,23,ATL,10,0,6.8,1.2,2.7,0.444,0.5,1.2,0.417,0.7,1.5,0.467,0.537,0.9,1,0.9,0.3,0.5,0.8,0.7,0.2,0,0.1,0.3,3.8
CJ McCollum,SG,29,POR,13,13,33.8,9.5,20,0.473,4.8,11,0.441,4.6,9,0.513,0.594,2.9,3.5,0.844,0.5,3.4,3.9,5,1.3,0.3,1,2.2,26.7
T.J. McConnell,PG,28,IND,26,1,24,2.7,5.3,0.504,0.2,0.6,0.375,2.5,4.7,0.52,0.525,0.2,0.5,0.333,0.7,2.7,3.3,6.6,1.7,0.4,1.7,1.6,5.8
Jaden McDaniels,PF,20,MIN,23,1,18.7,2,5.1,0.398,1,2.7,0.381,1,2.4,0.418,0.5,0.3,0.7,0.4,0.7,2.7,3.3,1,0.3,1.1,0.8,2.5,5.4
Jalen McDaniels,SF,23,CHO,10,0,10.8,1.6,3.3,0.485,0.2,0.9,0.222,1.4,2.4,0.583,0.515,0.7,1.1,0.636,0.4,1.7,2.1,0.6,0.2,0,0.9,1.5,4.1
Doug McDermott,PF,29,IND,28,8,26.2,5.1,10.1,0.511,1.5,4.3,0.355,3.6,5.8,0.627,0.587,1.3,1.6,0.795,1,3.1,4.1,1.4,0.3,0.1,1.1,1.8,13.1
Sean McDermott,SF,24,MEM,6,0,15.3,1.2,2.5,0.467,0.7,1.8,0.364,0.5,0.7,0.75,0.6,0.7,0.7,1,0.5,0.8,1.3,0.5,0.2,0.2,0.5,0.7,3.7
JaVale McGee,C,33,CLE,20,1,15.7,3.1,6.8,0.459,0.3,0.8,0.313,2.9,6,0.479,0.478,1.3,2.2,0.591,1.7,3.9,5.6,1,0.5,1.2,1.3,2.5,7.8
Rodney McGruder,SG,29,DET,8,0,8,1.1,2.4,0.474,0.4,0.9,0.429,0.8,1.5,0.5,0.553,0.4,0.4,1,0.4,0.8,1.1,0.8,0,0.1,0.5,0.5,3
Alfonzo McKinnie,SF,28,LAL,14,0,3.1,0.7,1.1,0.625,0.2,0.4,0.6,0.5,0.8,0.636,0.719,0.1,0.3,0.5,0.4,0.4,0.9,0.1,0.1,0,0.1,0.3,1.8
Jordan McLaughlin,PG,24,MIN,17,0,18.2,2.2,5.5,0.394,0.5,1.4,0.375,1.6,4.1,0.4,0.441,0.4,0.5,0.778,0.5,1.7,2.2,4.6,1,0.2,1.2,0.8,5.3
Ben McLemore,SG,27,HOU,20,2,15.2,2.2,5.8,0.374,1.4,4.2,0.337,0.8,1.6,0.469,0.496,0.7,0.9,0.722,0.4,1.8,2.2,1,0.6,0.1,1.1,1.3,6.4
Nicolo Melli,PF,30,NOP,13,0,10.5,0.6,2.2,0.286,0.5,1.7,0.273,0.2,0.5,0.333,0.393,0.3,0.4,0.8,0.2,1.9,2.1,0.9,0.5,0.1,0.5,1.2,2
De'Anthony Melton,PG,22,MEM,12,0,21.5,4,8.3,0.48,1.6,3.6,0.442,2.4,4.8,0.509,0.575,0.4,0.7,0.625,0.3,2.7,3,3.2,0.9,1,1.4,2.1,10
Sam Merrill,SG,24,MIL,9,0,6.1,0.4,1.1,0.4,0.4,0.9,0.5,0,0.2,0,0.6,0.2,0.2,1,0.3,0.8,1.1,1.1,0.1,0,0.3,0.3,1.6
Chimezie Metu,C,23,SAC,11,0,6.5,1.4,2.7,0.5,0.1,0.3,0.333,1.3,2.5,0.519,0.517,0.5,0.8,0.667,1,1.1,2.1,0.5,0.3,0.5,0.5,0.9,3.4
Khris Middleton,SF,29,MIL,28,28,33,7.5,14.6,0.51,2.4,5.5,0.442,5,9.1,0.551,0.593,3,3.3,0.902,0.7,5.1,5.8,5.8,1,0.1,2.5,2.8,20.3
Darius Miller,SF,30,OKC,12,0,9.3,0.9,2,0.458,0.8,1.8,0.429,0.2,0.3,0.667,0.646,0.3,0.3,1,0.1,1.2,1.3,0.8,0.4,0.3,0.4,0.8,2.8
Patty Mills,PG,32,SAS,27,0,25.4,4.7,10.5,0.449,2.6,6.5,0.4,2.1,4,0.528,0.572,1.2,1.3,0.943,0.3,1.6,1.9,2.7,0.7,0,1,1.4,13.2
Paul Millsap,PF,35,DEN,26,26,23.9,3.8,7.3,0.524,1.2,3,0.41,2.6,4.3,0.604,0.608,1.6,2.3,0.695,1.6,3.6,5.2,1.7,0.8,0.5,1,2.1,10.4
Shake Milton,SG,24,PHI,22,1,24.4,4.9,10.9,0.452,1,3.3,0.306,3.9,7.6,0.515,0.498,3.2,3.6,0.875,0.5,1.4,1.9,3,0.7,0.2,1.5,2.2,14
Donovan Mitchell,SG,24,UTA,27,27,33.6,8.3,19.4,0.427,3.4,8.6,0.391,4.9,10.8,0.457,0.514,4.2,5.1,0.832,1,3.4,4.4,5.1,0.9,0.4,3,2.2,24.2
Adam Mokoka,SG,22,CHI,7,0,6,0.7,2,0.357,0.1,1.1,0.125,0.6,0.9,0.667,0.393,0,0,0,0.1,0.4,0.6,0.6,0.3,0.1,0.3,0.7,1.6
Malik Monk,SG,22,CHO,15,0,21.1,3.6,8,0.45,2.2,4.4,0.5,1.4,3.6,0.389,0.588,1.1,1.3,0.85,0.3,2,2.3,1.8,0.3,0.1,1.1,1.3,10.5
E'Twaun Moore,SG,31,PHO,14,1,16.2,2.3,5.2,0.438,0.4,1.4,0.263,1.9,3.9,0.5,0.473,0.4,0.6,0.75,0.4,1.1,1.4,1.6,0.8,0.1,0.9,1.6,5.4
Ja Morant,PG,21,MEM,16,16,30.3,6.8,14.9,0.458,0.8,3.3,0.25,6,11.6,0.516,0.485,4.3,5.4,0.802,0.8,2.3,3.1,8.3,0.9,0.3,3.2,1.4,18.8
Juwan Morgan,PF,23,UTA,12,0,5.3,0.5,1.1,0.462,0.3,0.8,0.333,0.3,0.3,0.75,0.577,0,0.3,0,0.3,0.8,1.1,0.3,0.3,0,0.2,0.9,1.3
Marcus Morris,PF,31,LAC,21,2,25,4.5,10,0.45,2.5,5,0.5,2,5,0.4,0.576,1.7,1.9,0.897,0.8,3,3.8,0.9,0.6,0.3,1,1.8,13.2
Markieff Morris,PF,31,LAL,23,2,15.3,1.6,4,0.387,0.9,2.7,0.323,0.7,1.3,0.516,0.495,0.6,0.8,0.722,0.6,2.9,3.5,0.9,0.2,0.3,0.5,1.5,4.6
Monte Morris,PG,25,DEN,27,3,26,4.1,8.5,0.489,1.3,3.2,0.391,2.9,5.3,0.549,0.563,1.2,1.7,0.702,0.3,1.9,2.1,3.3,0.7,0.3,0.6,0.8,10.8
Mychal Mulder,PG,26,GSW,28,1,10.8,1.4,3,0.476,1.1,2.6,0.444,0.3,0.4,0.667,0.667,0.3,0.4,0.636,0,0.9,0.9,0.4,0.2,0.2,0.2,1,4.3
Dejounte Murray,PG,24,SAS,27,27,30.4,6.2,13.9,0.447,1,3.3,0.315,5.1,10.6,0.488,0.484,1.7,2.1,0.81,0.6,6.6,7.2,5,1.6,0.1,1.7,2.1,15.1
